term,type,canonical,source
abdominal distension,Symptom,abdominal distension,case_text
abdominal pain,Symptom,abdominal pain,case_text
ascites,Symptom,ascites,case_text
breathlessness,Symptom,dyspnea,case_text
chest pain,Symptom,chest pain,case_text
chills,Symptom,chills,case_text
constipation,Symptom,constipation,case_text
coughed,Symptom,cough,case_text
diarrhea,Symptom,diarrhea,case_text
dyspnea,Symptom,dyspnea,case_text
edema,Symptom,edema,case_text
emesis,Symptom,vomiting,case_text
fatigue,Symptom,fatigue,case_text
fever,Symptom,fever,case_text
headache,Symptom,headache,case_text
nausea,Symptom,nausea,case_text
respiratory distress,Symptom,respiratory distress,case_text
vomiting,Symptom,vomiting,case_text
weight loss,Symptom,weight loss,case_text
dysphagia,Symptom,dysphagia,case_text
anorexia,Symptom,anorexia,case_text
chest tightness,Symptom,chest tightness,case_text
coughing,Symptom,cough,case_text
decreased appetite,Symptom,decreased appetite,case_text
decreased level of consciousness,Symptom,decreased level of consciousness,case_text
diaphoresis,Symptom,diaphoresis,case_text
dry eyes,Symptom,dry eyes,case_text
dry mouth,Symptom,dry mouth,case_text
heartburn,Symptom,heartburn,case_text
jaundice,Symptom,jaundice,case_text
palpitations,Symptom,palpitations,case_text
pruritus,Symptom,pruritus,case_text
rash,Symptom,rash,case_text
swollen abdomen,Symptom,abdominal swelling,case_text
weakness,Symptom,weakness,case_text
wrist pain,Symptom,wrist pain,case_text
epigastric pain,Symptom,epigastric pain,case_text
muscular soreness,Symptom,muscle soreness,case_text
shortness of breath,Symptom,dyspnea,case_text
desaturation,Symptom,oxygen desaturation,case_text
hematochezia,Symptom,hematochezia,case_text
weight gain,Symptom,weight gain,case_text
abdominal tenderness,Symptom,abdominal tenderness,case_text
biopsy,Exam,biopsy,case_text
blood tests,Exam,blood test,case_text
computed tomography,Exam,computed tomography,case_text
CT scan,Exam,computed tomography,case_text
echocardiography,Exam,echocardiography,case_text
electrocardiogram,Exam,electrocardiogram,case_text
electroencephalogram,Exam,electroencephalogram,case_text
EKG,Exam,electrocardiogram,case_text
endoscopy,Exam,endoscopy,case_text
esophagogastroduodenoscopy,Exam,esophagogastroduodenoscopy,case_text
EUS-FNA,Exam,endoscopic ultrasound-guided fine-needle aspiration,case_text
glucose tolerance test,Exam,glucose tolerance test,case_text
GTT,Exam,glucose tolerance test,case_text
laboratory studies,Exam,laboratory testing,case_text
magnetic resonance imaging,Exam,magnetic resonance imaging,case_text
MRI,Exam,magnetic resonance imaging,case_text
OCT,Exam,optical coherence tomography,case_text
transesophageal echocardiography,Exam,transesophageal echocardiography,case_text
transvaginal ultrasonography,Exam,transvaginal ultrasonography,case_text
ultrasonography,Exam,ultrasonography,case_text
abdominal ultrasound,Exam,abdominal ultrasound,case_text
CAG,Exam,coronary angiography,case_text
chest X-ray,Exam,chest X-ray,case_text
colonoscopy,Exam,colonoscopy,case_text
coronary angiography,Exam,coronary angiography,case_text
CT,Exam,computed tomography,case_text
ECG,Exam,electrocardiogram,case_text
EGD,Exam,esophagogastroduodenoscopy,case_text
enteroscopy,Exam,enteroscopy,case_text
laboratory examinations,Exam,laboratory testing,case_text
laboratory tests,Exam,laboratory testing,case_text
lumbar puncture,Exam,lumbar puncture,case_text
MRA,Exam,magnetic resonance angiography,case_text
rRT-PCR,Exam,reverse transcription polymerase chain reaction,case_text
Schirmer test,Exam,Schirmer test,case_text
TEE,Exam,transesophageal echocardiography,case_text
transesophageal echocardiogram,Exam,transesophageal echocardiography,case_text
transthoracic echocardiogram,Exam,transthoracic echocardiography,case_text
UGI study,Exam,upper gastrointestinal contrast study,case_text
ultrasound,Exam,ultrasound,case_text
video capsule endoscopy,Exam,video capsule endoscopy,case_text
X-ray,Exam,X-ray,case_text
X-rays,Exam,X-ray,case_text
physical examination,Exam,physical examination,case_text
hormonal assay,Exam,hormonal assay,case_text
hysterosalpingography,Exam,hysterosalpingography,case_text
semen analysis,Exam,semen analysis,case_text
diagnostic laparoscopy,Exam,diagnostic laparoscopy,case_text
histological examination,Exam,histological examination,case_text
immunohistochemical study,Exam,immunohistochemistry,case_text
thyroid function tests,Exam,thyroid function testing,case_text
serological investigations,Exam,serological testing,case_text
TTE,Exam,transthoracic echocardiography,case_text
echocardiogram,Exam,echocardiography,case_text
acylcarnitine profile,Exam,acylcarnitine profile,case_text
molecular studies,Exam,molecular testing,case_text
FNA,Exam,fine-needle aspiration,case_text
pathology,Exam,pathology examination,case_text
Donath-Landsteiner test,Exam,Donath-Landsteiner test,case_text
cellulitis,Condition,cellulitis,case_text
chronic kidney disease,Condition,chronic kidney disease,case_text
COVID-19,Condition,COVID-19,case_text
diabetes mellitus,Condition,diabetes mellitus,case_text
esophagobronchial fistula,Condition,esophagobronchial fistula,case_text
gastric duplication cyst,Condition,gastric duplication cyst,case_text
gastric outlet obstruction,Condition,gastric outlet obstruction,case_text
heart failure,Condition,heart failure,case_text
hypothyroidism,Condition,hypothyroidism,case_text
